    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.26s
     Running tests/e2e.rs (target/debug/deps/e2e-02710646dbc0f7d8)

running 6962 tests
test fixture_test_o0::allocator_free_rewind_wado ... ok
test fixture_test_o0::allocator_freelist_align_wado ... ok
test fixture_test_o0::allocator_debug_poison_wado ... ok
test fixture_test_o0::allocator_freelist_bins_wado ... ok
test fixture_test_o0::allocator_freelist_churn_mixed_wado ... ok
test fixture_test_o0::allocator_freelist_churn_wado ... ok
test fixture_test_o0::allocator_freelist_coalesce_both_wado ... ok
test fixture_test_o0::allocator_freelist_coalesce_wado ... ok
test fixture_test_o0::allocator_freelist_double_free_wado ... ok
test fixture_test_o0::allocator_freelist_reclaim_wado ... ok
test fixture_test_o0::allocator_freelist_no_coalesce_wado ... ok
test fixture_test_o0::allocator_freelist_split_wado ... ok
test fixture_test_o0::allocator_freelist_zero_free_wado ... ok
test fixture_test_o0::anon_struct_nested_wado ... ok
test fixture_test_o0::anon_struct_basic_wado ... ok
test fixture_test_o0::allocator_grow_wado ... ok
test fixture_test_o0::anon_struct_shorthand_wado ... ok
test fixture_test_o0::anon_struct_structural_eq_wado ... ok
test fixture_test_o0::anon_struct_various_types_wado ... ok
test fixture_test_o0::array_append_collapse_wado ... ok
test fixture_test_o0::array_bounds_check_empty_wado ... ok
test fixture_test_o0::array_bounds_check_negative_wado ... ok
test fixture_test_o0::array_bounds_check_oob_read_wado ... ok
test fixture_test_o0::array_bounds_check_oob_write_wado ... ok
test fixture_test_o0::array_bounds_elim_const_wado ... ok
test fixture_test_o0::array_bounds_elim_const_wir_wado ... ok
test fixture_test_o0::array_bounds_elim_le_guard_wado ... ok
test fixture_test_o0::array_bounds_elim_le_guard_wir_wado ... ok
test fixture_test_o0::array_bounds_elim_loop_guard_wado ... ok
test fixture_test_o0::array_bounds_elim_oob_after_mutation_wado ... ok
test fixture_test_o0::array_bounds_elim_loop_guard_wir_wado ... ok
test fixture_test_o0::array_bounds_elim_oob_complex_wado ... ok
test fixture_test_o0::array_bounds_elim_oob_loop_dynamic_wado ... ok
test fixture_test_o0::array_bounds_elim_oob_simple_wado ... ok
test fixture_test_o0::array_bounds_elim_oob_preserved_wir_wado ... ok
test fixture_test_o0::array_bounds_wado ... ok
test fixture_test_o0::array_empty_wado ... ok
test fixture_test_o0::array_error_heterogeneous_wado ... ok
test fixture_test_o0::array_explicit_cast_wado ... ok
test fixture_test_o0::array_index_2_wado ... ok
test fixture_test_o0::array_index_1_wado ... ok
test fixture_test_o0::array_f64_wado ... ok
test fixture_test_o0::array_index_inline_method_wado ... ok
test fixture_test_o0::array_literal_coerce_u8_wado ... ok
test fixture_test_o0::array_index_inline_recursive_wado ... ok
test fixture_test_o0::array_large_literal_dynamic_wado ... ok
test fixture_test_o0::array_literal_nir_materialize_wado ... ok
test fixture_test_o0::array_literal_side_effect_element_wado ... ok
test fixture_test_o0::array_of_generic_struct_wado ... ok
test fixture_test_o0::array_new_wado ... ok
test fixture_test_o0::array_param_coercion_wado ... ok
test fixture_test_o0::array_specialized_wado ... ok
test fixture_test_o0::array_return_wado ... ok
test fixture_test_o0::array_string_wado ... ok
test fixture_test_o0::array_tuple_unit_wado ... ok
test fixture_test_o0::array_type_annotation_wado ... ok
test fixture_test_o0::assert_escape_in_condition_wado ... ok
test fixture_test_o0::assert_fail_call_arg_ident_wado ... ok
test fixture_test_o0::assert_fail_call_arg_side_effect_wado ... ok
test fixture_test_o0::assert_fail_call_arg_wado ... ok
test fixture_test_o0::assert_fail_intermediate_wado ... ok
test fixture_test_o0::assert_fail_mut_ref_arg_wado ... ok
test fixture_test_o0::assert_fail_side_effect_wado ... ok
test fixture_test_o0::assert_fail_simple_wado ... ok
test fixture_test_o0::assert_fail_with_message_wado ... ok
test fixture_test_o0::assert_inspect_char_wado ... ok
test fixture_test_o0::assert_inspect_enum_wado ... ok
test fixture_test_o0::assert_inspect_float_precision_wado ... ok
test fixture_test_o0::assert_inspect_float_wado ... ok
test fixture_test_o0::assert_inspect_if_wado ... ok
test fixture_test_o0::assert_inspect_mut_ref_wado ... ok
test fixture_test_o0::assert_inspect_matches_wado ... ok
test fixture_test_o0::assert_inspect_ref_wado ... ok
test fixture_test_o0::assert_inspect_string_wado ... ok
test fixture_test_o0::assert_inspect_variant_wado ... ok
test fixture_test_o0::assert_inspect_struct_wado ... ok
test fixture_test_o0::assert_pass_wado ... ok
test fixture_test_o0::assert_truncate_string_wado ... ok
test fixture_test_o0::assoc_projection_method_compose_wado ... ok
test fixture_test_o0::assoc_type_generic_param_projection_wado ... ok
test fixture_test_o0::assoc_type_projection_struct_field_wado ... ok
test fixture_test_o0::associated_const_wado ... ok
test fixture_test_o0::associated_type_1_wado ... ok
test fixture_test_o0::associated_type_2_wado ... ok
test fixture_test_o0::bind_error_duplicate_in_scope_wado ... ok
test fixture_test_o0::bind_error_module_wado ... ok
test fixture_test_o0::bind_error_use_before_define_wado ... ok
test fixture_test_o0::auto_deref_template_wado ... ok
test fixture_test_o0::auto_deref_wado ... ok
test fixture_test_o0::bug_copy_prop_method_array_literal_arg_wado ... ok
test fixture_test_o0::bitwise_merged_wado ... ok
test fixture_test_o0::bug_copy_prop_mut_param_rebind_wado ... ok
test fixture_test_o0::bug_mut_ref_after_continue_wado ... ok
test fixture_test_o0::bug_store_load_forward_mut_method_receiver_wado ... ok
test fixture_test_o0::builtin_v128_load_store_wado ... ok
test fixture_test_o0::callable_expr_arg_type_error_wado ... ok
test fixture_test_o0::callable_expr_arity_error_wado ... ok
test fixture_test_o0::callable_expr_not_callable_error_wado ... ok
test fixture_test_o0::callable_expr_wado ... ok
test fixture_test_o0::cast_deref_precedence_wado ... ok
test fixture_test_o0::char_cast_from_i32_error_wado ... ok
test fixture_test_o0::char_cast_from_i8_error_wado ... ok
test fixture_test_o0::cast_int64_to_int_wado ... ok
test fixture_test_o0::char_cast_from_u32_error_wado ... ok
test fixture_test_o0::char_cast_to_f64_error_wado ... ok
test fixture_test_o0::cli_args_wado ... ok
test fixture_test_o0::char_cast_wado ... ok
test fixture_test_o0::cli_eprint_wado ... ok
test fixture_test_o0::cli_print_wado ... ok
test fixture_test_o0::closure_3_wado ... ok
test fixture_test_o0::closure_2_wado ... ok
test fixture_test_o0::closure_1_wado ... ok
test fixture_test_o0::closure_auto_capture_mut_wado ... ok
test fixture_test_o0::closure_cm_boundary_import_error_wado ... ok
test fixture_test_o0::closure_cm_boundary_imported_struct_error_wado ... ok
test fixture_test_o0::closure_cm_boundary_param_error_wado ... ok
test fixture_test_o0::closure_bound_with_multi_effect_wado ... ok
test fixture_test_o0::closure_cm_boundary_return_error_wado ... ok
test fixture_test_o0::closure_cm_boundary_struct_field_error_wado ... ok
test fixture_test_o0::closure_cm_boundary_variant_payload_error_wado ... ok
test fixture_test_o0::closure_effect_generic_wado ... ok
test fixture_test_o0::closure_field_mutation_wado ... ok
test fixture_test_o0::closure_escapes_effect_todo_wado ... ok
test fixture_test_o0::closure_fn_bound_with_effect_param_wado ... ok
test fixture_test_o0::closure_fn_bound_with_regular_type_param_wado ... ok
test fixture_test_o0::closure_fn_mut_basic_wado ... ok
test fixture_test_o0::closure_generic_bound_fn_wado ... ok
