
running 25 tests
test fixture_test_o2::array_literal_nir_materialize_wado ... ok
test fixture_test_o2::array_bounds_elim_const_wir_wado ... ok
test fixture_test_o2::array_bounds_elim_loop_guard_wir_wado ... ok
test fixture_test_o2::array_append_collapse_wado ... ok
test fixture_test_o2::const_global_dedup_refeq_wado ... ok
test fixture_test_o2::const_global_object_wado ... ok
test fixture_test_o2::const_global_dedup_wado ... ok
test fixture_test_o2::const_global_scalar_read_wado ... ok
test fixture_test_o2::const_object_globalization_wado ... ok
test fixture_test_o2::match_1_wado ... ok
test fixture_test_o2::opt_container_sroa_edge_wado ... ok
test fixture_test_o2::opt_container_sroa_struct_wado ... ok
test fixture_test_o2::opt_crossmod_array_wado ... ok
test fixture_test_o2::opt_container_sroa_tuple_wado ... ok
test fixture_test_o2::tmpl_hoist_escape_mixed_wado ... ok
test fixture_test_o2::tmpl_hoist_escape_safe_wado ... ok
test fixture_test_o2::tmpl_hoist_fmt_default_wado ... ok
test fixture_test_o2::tmpl_hoist_fmt_mixed_wado ... ok
test fixture_test_o2::tmpl_hoist_fmt_edge_wado ... ok
test fixture_test_o2::tmpl_hoist_fmt_multi_default_wado ... ok
test fixture_test_o2::tmpl_hoist_fmt_params_wado ... ok
test fixture_test_o2::tmpl_hoist_fmt_specifier_wado ... ok
test fixture_test_o2::tmpl_hoist_fmt_struct_wado ... ok
test fixture_test_o2::tmpl_hoist_formatter_wado ... ok
test fixture_test_o2::tmpl_hoist_loop_wado ... ok

test result: ok. 25 passed; 0 failed; 0 ignored; 0 measured; 7372 filtered out; finished in 5.87s

